,DBA,BORO,BUILDING,STREET,CUISINE DESCRIPTION,Latitude,Longitude,SCORE,GRADE,RECORD DATE
272152,NOODLE Q,Manhattan,2,E BROADWAY,Chinese,40.713433337653,-73.99762286269801,11.0,A,02/16/2020
271657,MALIBU DINER,Manhattan,163,WEST   23 STREET,American,40.743617418275,-73.99448570902601,12.0,A,02/16/2020
271216,GO BELIEVE BAKERY,Manhattan,239,GRAND ST,Chinese,40.718368327902,-73.994581599969,11.0,A,02/16/2020
270760,NEW YORK KIMCHI,Manhattan,18,W 48TH ST,Korean,40.757619387884,-73.97894164762499,24.0,B,02/16/2020
269996,MOCA BAR & LOUNGE,Manhattan,2210,8 AVENUE,American,40.80648785804,-73.953842653582,24.0,B,02/16/2020
269897,VAPIANO,Manhattan,113,UNIVERSITY PLACE,Italian,40.734367445652,-73.992390039906,13.0,A,02/16/2020
269788,DUKE'S,Manhattan,560,3 AVENUE,American,40.747671945292,-73.976710802315,12.0,A,02/16/2020
272182,CONRAD NEW YORK MAIN KITCHENy,Manhattan,102,NORTH END AVENUE,American,40.714804609047,-74.016153324341,12.0,A,02/16/2020
275222,GOLDEN BOWL RESTAURANT,Manhattan,51,DIVISION ST,Chinese,40.714166118215,-73.99527453075301,19.0,B,02/16/2020
264057,AMELIE WINE BAR,Manhattan,566,AMSTERDAM AVE,French,40.788614973424,-73.974341872062,43.0,C,02/16/2020
263522,IL CORTILE RESTAURANT,Manhattan,123,MULBERRY STREET,Italian,40.717890850638,-73.99810609883001,27.0,B,02/16/2020
257659,BONDURANTS,Manhattan,303,E 85TH ST,American,40.777030372744996,-73.95184479908801,24.0,B,02/16/2020
257294,CAFFE NAPOLI,Manhattan,191,HESTER STREET,Italian,40.718115916207,-73.997803067196,13.0,A,02/16/2020
256908,MADANGSUI,Manhattan,35,WEST   35 STREET,Korean,40.749671569495,-73.985426218308,20.0,B,02/16/2020
256861,SHANGHAI ASIAN CUISINE,Manhattan,14A,ELIZABETH ST,Chinese,40.715835005553004,-73.997406337566,25.0,B,02/16/2020
256745,GRAND SEOUL,Manhattan,85,CHRYSTIE ST,Korean,40.717470768969,-73.994177643524,13.0,A,02/16/2020
